P,N,E,N,C
17.04.31.C,7228905.076,2686488.808,707.130501,Yellow/White
17.04.31.D,7228875.763,2686488.808,706.814338,Yellow/White
17.04.31.E,7228846.451,2686488.808,706.498186,Yellow/White
17.04.31.F,7228814.477,2686488.808,706.153322,Green/White
17.04.31.G,7228786.597,2686488.808,705.852615,Yellow/White
17.04.31.H,7228757.284,2686488.808,705.536452,Yellow/White
17.04.31.I,7228727.972,2686488.808,705.2203,Yellow/White
17.04.31.J,7228698.659,2686488.808,704.904137,Red/White
17.04.31.K,7228669.346,2686488.808,704.587974,Yellow/White
17.04.31.L,7228640.034,2686488.808,704.271822,Yellow/Orange
17.04.32.A,7228963.701,2686506.808,707.914977,Yellow/Orange
17.04.32.B,7228934.389,2686506.808,707.601254,Yellow/White
17.04.32.C,7228905.076,2686506.808,707.287521,Yellow/White
17.04.32.D,7228875.763,2686506.808,706.973788,Yellow/White
17.04.32.E,7228846.451,2686506.808,706.660065,Yellow/White
17.04.32.F,7228814.477,2686506.808,706.317852,Green/White
17.04.32.G,7228786.597,2686506.808,706.019456,Yellow/White
17.04.32.H,7228757.284,2686506.808,705.705722,Yellow/White
17.04.32.I,7228727.972,2686506.808,705.392,Yellow/White
17.04.32.J,7228698.659,2686506.808,705.078267,Red/White
17.04.32.K,7228669.346,2686506.808,704.764534,Yellow/White
17.04.32.L,7228640.034,2686506.808,704.450811,Yellow/Orange
17.04.33.A,7228963.701,2686524.808,708.142728,Yellow/Orange
17.04.33.B,7228934.389,2686524.808,707.84486,Yellow/White
17.04.33.C,7228905.076,2686524.808,707.546982,Yellow/White
17.04.33.D,7228875.763,2686524.808,707.249104,Yellow/White
17.04.33.E,7228846.451,2686524.808,706.951236,Yellow/White
17.04.33.F,7228814.477,2686524.808,706.626316,Green/White
17.04.33.G,7228786.597,2686524.808,706.343,Yellow/White
17.04.33.H,7228757.284,2686524.808,706.045122,Yellow/White
17.04.33.I,7228727.972,2686524.808,705.747254,Red/White
17.04.33.J,7228698.659,2686524.808,705.449375,Red/White
17.04.33.K,7228669.346,2686524.808,705.151497,Yellow/White
17.04.33.L,7228640.034,2686524.808,704.853629,Yellow/Orange
17.04.34.A,7228963.701,2686542.808,708.234038,Yellow/Orange
17.04.34.B,7228934.389,2686542.808,707.972235,Yellow/White
17.04.34.C,7228905.076,2686542.808,707.710423,Yellow/White
17.04.34.D,7228875.763,2686542.808,707.448611,Red/White
17.04.34.E,7228846.451,2686542.808,707.186808,Red/White
17.04.34.F,7228814.477,2686542.808,706.901229,Green/White
17.04.34.G,7228786.597,2686542.808,706.652216,Red/White
17.04.34.H,7228757.284,2686542.808,706.390403,Red/White
17.04.34.I,7228727.972,2686542.808,706.1286,Red/White
17.04.34.J,7228698.659,2686542.808,705.866788,Red/White
17.04.34.K,7228669.346,2686542.808,705.604976,Red/White
17.04.34.L,7228640.034,2686542.808,705.343173,Yellow/Orange
17.04.35.A,7228963.701,2686560.808,707.845688,Yellow/Orange
17.04.35.B,7228934.389,2686560.808,707.60577,Yellow/White
17.04.35.C,7228905.076,2686560.808,707.365845,Yellow/White
17.04.35.D,7228875.763,2686560.808,707.125919,Yellow/White
17.04.35.E,7228846.451,2686560.808,706.886002,Yellow/White
17.04.35.F,7228814.477,2686560.808,706.624296,Black/White
17.04.35.G,7228786.597,2686560.808,706.3961,Yellow/White
17.04.35.H,7228757.284,2686560.808,706.156174,Yellow/White
17.04.35.I,7228727.972,2686560.808,705.916257,Red/White
17.04.35.J,7228698.659,2686560.808,705.676331,Yellow/White
17.04.35.K,7228669.346,2686560.808,705.436405,Yellow/White
17.04.35.L,7228640.034,2686560.808,705.196488,Yellow/Orange
