P,N,E,N,N
3573,2196038.326,6521246.72,0,Standard Array Pier
3574,2196963.047,6521246.72,0,Standard Array Pier
3575,2197162.585,6521246.72,0,Standard Array Pier
3576,2197196.333,6521246.72,0,Standard Array Pier
3577,2195838.264,6521227.189,0,Standard Array Pier
3578,2197030.543,6521246.72,0,Standard Array Pier
3579,2197095.088,6521246.72,0,Standard Array Pier
3580,2197128.837,6521246.72,0,Standard Array Pier
3581,2196762.588,6521598.271,0,Standard Array Pier
3582,2196796.337,6521598.271,0,Standard Array Pier
3583,2196830.085,6521598.271,0,Standard Array Pier
3584,2196596.798,6521598.271,0,Standard Array Pier
3585,2196664.295,6521598.271,0,Standard Array Pier
3586,2196728.84,6521598.271,0,Standard Array Pier
3587,2196859.696,6521598.271,0,Standard Array Pier
3588,2196663.771,6521578.741,0,Standard Array Pier
3589,2196728.316,6521578.741,0,Standard Array Pier
3590,2196762.065,6521578.741,0,Standard Array Pier
3591,2196566.664,6521578.741,0,Standard Array Pier
3592,2196630.023,6521578.741,0,Standard Array Pier
3593,2196596.275,6521578.741,0,Standard Array Pier
3594,2196631.07,6521617.802,0,Standard Array Pier
3595,2196597.321,6521617.802,0,Standard Array Pier
3596,2196664.818,6521617.802,0,Standard Array Pier
3597,2197162.062,6521227.189,0,Standard Array Pier
3598,2197195.81,6521227.189,0,Standard Array Pier
3599,2196567.71,6521617.802,0,Standard Array Pier
3600,2196729.363,6521617.802,0,Standard Array Pier
3601,2196860.22,6521617.802,0,Standard Array Pier
3602,2196567.187,6521598.271,0,Standard Array Pier
3603,2196630.546,6521598.271,0,Standard Array Pier
3604,2196763.112,6521617.802,0,Standard Array Pier
3605,2196796.86,6521617.802,0,Standard Array Pier
3606,2196830.608,6521617.802,0,Standard Array Pier
3607,2195839.834,6521285.781,0,Standard Array Pier
3608,2195806.086,6521285.781,0,Standard Array Pier
3609,2195873.583,6521285.781,0,Standard Array Pier
3610,2197130.407,6521305.312,0,Standard Array Pier
3611,2197164.155,6521305.312,0,Standard Array Pier
3612,2197197.904,6521305.312,0,Standard Array Pier
3613,2195938.128,6521285.781,0,Standard Array Pier
3614,2196068.984,6521285.781,0,Standard Array Pier
3615,2196934.482,6521285.781,0,Standard Array Pier
3616,2196997.842,6521285.781,0,Standard Array Pier
3617,2195971.876,6521285.781,0,Standard Array Pier
3618,2196005.624,6521285.781,0,Standard Array Pier
3619,2196039.373,6521285.781,0,Standard Array Pier
3620,2195938.651,6521305.312,0,Standard Array Pier
3621,2195972.399,6521305.312,0,Standard Array Pier
